週,品目,入荷量t,前週比%,前年比%,高値円,中値円,安値円,コメント,URL
2026年1月第1週,だいこん,787,176,122,1620,792,216,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,かぶ,62,108,103,173,123,54,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,にんじん,250,110,111,3024,2484,2268,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,ごぼう,32,125,137,1620,900,378,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,キャベツ,883,137,159,1404,648,216,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,レタス,305,146,113,3240,1980,756,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,はくさい,961,150,136,1620,756,432,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,こまつな,86,137,122,130,79,5,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,ほうれんそう,111,142,138,216,130,22,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
2026年1月第1週,ねぎ,291,113,123,4320,2592,756,"今週の1日の平均入荷量は6,703トン。前週比では「トマト」「ミニトマト」「なす」等が増加。「さといも」「セルリー」が減少。全体では44%
の増加となった。前年同期比では「キャベツ」「ブロッコリー」「ほうれんそう」等が増加。「さといも」「さつまいも」「ピーマン」が減少。全
体では27%の増加となった。市況は前週比で弱含み、前年同期比で弱保合となった。
「だいこん」の1日平均入荷量は、前週比76%の増加となった。千葉県産の価格は弱保合となった。
「にんじん」の1日平均入荷量は、前週比10%の増加となった。千葉県産の価格は保合となった。
「キャベツ」の1日平均入荷量は、前週比37%の増加となった。愛知県産の価格は弱保合となった。
「レタス」の1日平均入荷量は、前週比46%の増加となった。静岡県産の価格は弱含みとなった。
「はくさい」の1日平均入荷量は、前週比50%の増加となった。茨城県産の価格は強含みとなった。
「ほうれんそう」の1日平均入荷量は、前週比42%の増加となった。群馬県産の価格は強保合となった。
「ねぎ」の1日平均入荷量は、前週比13%の増加となった。千葉県産の価格は保合となった。
「ブロッコリー」の1日平均入荷量は、前週比34%の増加となった。香川県産の価格は弱含みとなった。
「きゅうり」の1日平均入荷量は、前週比139%の増加となった。宮崎県産の価格は弱保合となった。
「なす」の1日平均入荷量は、前週比147%の増加となった。高知県産の価格は弱含みとなった。
「トマト」の1日平均入荷量は、前週比167%の増加となった。熊本県産の価格は弱保合となった。
「ピーマン」の1日平均入荷量は、前週比57%の増加となった。宮崎県産の価格は強含みとなった。
「じゃがいも」の1日平均入荷量は、前週比36%の増加となった。北海道産の価格は保合となった。
「たまねぎ」の1日平均入荷量は、前週比27%の増加となった。北海道産の価格は保合となった。",https://www.shijou.metro.tokyo.lg.jp/documents/d/shijou/2026-01-09-115737-251
